actor starting point(x, y): ;5;10;map size(x, y):;64;32;chunks in a(row, column);4;2;s: sky;g: gras;i: ice;m: mud;t: terra;g1: grass with collider;t1: terra with collider;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;s
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;t1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;t1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;t1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;t1
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1;g1;g1;;;;;;t1
g1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;i;i;i;i;i;;;;;;;;;;;;;;;;;;g1;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;g1;;;;;;;;;;;;;;;;;g1;g1;g1;g1;g1;;;;;g1;g1;;;;;;;;;;;g1;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1;t;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;;;;;;;g1;g1;g1;;;;;;;;;;;;;;;;;;;;;;;t1;t;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;g1;;;t1;t;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;g1;;;;g1;g1;g1;g1;g1;;;;;g1;g1;;;;;;;;;;;;;;;;;;;;;;;;;g1;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;;t;t;;;;;;;;;;;;;;;;;;;;;;;;g1;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;g1;t;t;g1;;;;;;;;;;;;;g1;g1;;;;;;;;g1;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t1;;;;;;;;;;;;;;;;;;;;g1;t;t;g1;m;m;m;m;m;m;;;m;m;m;m;g1;g1;m;m;m;m;m;m;g1;t;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;t;t;t;t;g1;g1;g1;g1;g1;g1;;;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;g1;t;t;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t1;;;;;;t1
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t;g1;g1;g1;g1;g1;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t1;;;t1;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;t;;;t;t;t;t;t;t;t;t;t;t;t;t;t
